Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes;
RIOSEQUILLO;42;84.00;1;2.00;50;44;88.00;44;88.60;Tajo;Madrid;BUITRAGO DEL LOZOYA;LOZOYA;Gravedad;1956;326.00 ;1;0;1;1;1;1;1;1;1;
RIVERA DE GATA;32;65.31;0;0.00;49;40;81.63;42;86.94;Tajo;Caceres;VILLASBUENAS GATA;RIVERA DE GATA;Materiales sueltos núcleo arcilla;1990;298.00 ;1;1;0;0;1;0;0;0;0;
ROSARITO;73;89.02;1;1.22;82;73;89.02;75;92.44;Tajo;Toledo;OROPESA, CANDELEDA;TIETAR;Gravedad;1958;1,475.00 ;0;1;1;0;0;1;0;1;1;
SALOR;8;57.14;0;0.00;14;9;64.29;9;67.86;Tajo;Caceres;CACERES;SALOR;Gravedad;1964;400.00 ;0;1;0;0;1;1;0;0;0;
SAN JUAN;79;57.25;-2;-1.45;138;110;79.71;113;81.88;Tajo;Madrid;SAN MARTIN DE VALDEIGLESIAS;ALBERCHE;Gravedad;1955;650.00 ;1;1;1;1;1;1;1;1;1;
SANTILLANA;71;78.02;0;0.00;91;68;74.73;78;86.26;Tajo;Madrid;MANZANARES EL REAL;MANZANARES;Gravedad;1969;1,044.00 ;1;1;1;0;1;0;0;0;0;
TORREJON (TAJO - TIETAR);169;89.89;-1;-0.53;188;157;83.51;165;87.93;Tajo;Caceres;TORIL, TORREJON EL RUBIO;TAJO;Gravedad;1966;1,041.00 ;1;1;1;0;0;0;0;0;0;
VALDECAÑAS;693;47.93;10;0.69;1446;1303;90.11;1150;79.56;Tajo;Caceres;BELVIS DE MONROY Y VALDECAÑAS DE TAJO;TAJO;Bóveda;1964;7,300.00 ;1;1;1;0;0;0;0;1;0;
VALDEOBISPO;49;92.45;-1;-1.89;53;49;92.45;49;93.58;Tajo;Caceres;VALDEOBISPO, MONTEHERMOSO;ALAGON;Gravedad;1968;357.00 ;0;1;0;0;0;1;1;0;0;
VALMAYOR;98;79.03;-1;-0.81;124;69;55.65;95;76.61;Tajo;Madrid;VALDEMORILLO;AULENCIA;Materiales sueltos P asfáltica;1975;755.00 ;1;1;0;0;1;0;0;1;0;
ALANGE;315;36.97;-7;-0.82;852;348;40.85;558;65.53;Guadiana;Badajoz;ALANGE;MATACHEL;Gravedad;1992;5,144.00 ;1;0;1;0;1;0;1;1;1;
ANDEVALO;471;74.29;0;0.00;634;518;81.70;228;36.04;Guadiana;Huelva;PUEBLA DE GUZMAN;MALAGON-COBICA;Materiales sueltos núcleo arcilla;2003;3,630.00 ;0;0;0;0;1;0;0;0;0;
BOQUERON;4;66.67;0;0.00;6;5;83.33;5;88.33;Guadiana;Badajoz;CORDOBILLA DE LACARA;ROSAL, EL;Gravedad;1987;124.00 ;1;1;0;0;1;0;1;0;0;
BROVALES;6;85.71;0;0.00;7;7;100.00;6;98.57;Guadiana;Badajoz;JEREZ DE LOS CABALLEROS;BROVALES;Contrafuertes;1960;159.00 ;0;1;0;0;1;0;1;1;1;
CANCHO DEL FRESNO;9;60.00;0;0.00;15;15;100.00;13;87.33;Guadiana;Caceres;CAÑAMERO;RUECAS;Gravedad;1987;97.00 ;1;1;0;1;1;1;1;1;0;
CHANZA;179;52.49;18;5.28;341;213;62.46;257;75.51;Guadiana;Huelva;GRANADO, EL;CHANZA;Gravedad;1989;2,239.00 ;1;1;1;0;1;1;0;1;0;
CIJARA;900;59.80;-30;-1.99;1505;953;63.32;1128;74.97;Guadiana;Badajoz;Herrera del Duque, Alía;GUADIANA;Gravedad;1956;6,565.00 ;1;1;1;0;1;1;1;1;1;
CORNALVO;1;9.09;0;0.00;11;1;9.09;2;18.18;Guadiana;Badajoz;MERIDA;ALBARREGAS;Materiales sueltos homogenea;130;44.00 ;1;0;0;0;0;0;1;0;0;
CUBILAR;4;40.00;0;0.00;10;3;30.00;4;44.00;Guadiana;Caceres;LOGROSAN;CUBILAR;Materiales sueltos homogenea;1999;142.00 ;0;0;0;0;1;0;0;0;0;
EL AGUIJON;11;100.00;0;0.00;11;11;100.00;10;97.27;Guadiana;Badajoz;HIGUERA DE VARGAS, BARCARROTA;ALCARRACHE;Gravedad;1995;188.00 ;1;0;0;0;1;0;0;0;0;
EL VICARIO;14;43.75;0;0.00;32;15;46.88;23;72.81;Guadiana;Ciudad Real;CIUDAD REAL;GUADIANA;Gravedad;1973;930.00 ;1;1;0;0;1;1;0;1;1;
GARCIA DE SOLA;290;52.35;9;1.62;554;411;74.19;378;68.34;Guadiana;Badajoz;TALARRUBIAS;GUADIANA;Gravedad;1962;3,550.00 ;1;1;1;0;1;1;1;1;1;
GARGALIGAS;12;57.14;0;0.00;21;15;71.43;17;84.29;Guadiana;Badajoz;PUEBLA DE ALCOCER, LOGROSAN;GARGALIGAS;Materiales sueltos homogenea;1999;372.00 ;1;0;0;0;1;1;0;0;0;
GASSET;22;52.38;0;0.00;42;31;73.81;24;58.33;Guadiana;Ciudad Real;FERNANCABALLERO;BECEA;Materiales sueltos homogenea;1909;736.00 ;1;1;0;0;1;0;1;0;0;
HORNO TEJERO;21;87.50;0;0.00;24;22;91.67;21;91.25;Guadiana;Badajoz;CORDOBILLA DE LACARA;LACARA;Materiales sueltos núcleo arcilla;1987;282.86 ;1;0;0;0;1;0;1;0;0;
LA CABEZUELA;16;37.21;0;0.00;43;16;37.21;34;79.30;Guadiana;Ciudad Real;VALDEPEÑAS, TORRE JUAN ABAD;JABALON;Materiales sueltos homogenea;1991;690.00 ;1;0;0;0;1;1;0;0;0;
LA SERENA;1337;41.53;-19;-0.59;3219;1684;52.31;2512;78.04;Guadiana;Badajoz;CASTUERA Y ESPARRAGOSA DE LARES;ZUJAR;Gravedad;1990;13,949.00 ;1;1;1;0;1;1;1;1;1;
LA VEGA DEL JABALON;8;23.53;0;0.00;34;12;35.29;24;73.24;Guadiana;Ciudad Real;GRANATULA DE CALATRAVA;JABALON;Gravedad y Materiales sueltos homogenea;1992;646.00 ;1;0;0;0;1;1;1;0;1;
LLERENA;7;77.78;0;0.00;9;7;77.78;7;87.78;Guadiana;Badajoz;BERLANGA,HIGUERA DE LLERENA;ARROYO CONEJO;Gravedad;1989;155.00 ;1;0;0;0;0;0;0;0;0;
LOS CANCHALES;18;69.23;0;0.00;26;23;88.46;22;86.15;Guadiana;Badajoz;MONTIJO;LACARA;Hormigón Compactado;1991;970.00 ;1;1;0;0;1;0;0;0;0;
LOS MOLINOS;32;94.12;0;0.00;34;34;100.00;33;97.65;Guadiana;Badajoz;HORNACHOS;MATACHEL;Materiales sueltos núcleo arcilla;1983;388.00 ;1;1;0;0;1;1;1;0;0;
MONTIJO;11;100.00;2;18.18;11;11;100.00;10;98.18;Guadiana;Badajoz;MERIDA;GUADIANA;Gravedad;1954;290.00 ;0;0;0;0;0;0;1;0;0;
NOGALES;13;86.67;0;0.00;15;12;80.00;14;93.33;Guadiana;Badajoz;NOGALES;NOGALES;Gravedad;1991;153.00 ;1;0;0;0;0;0;0;0;0;
ORELLANA;602;74.50;5;0.62;808;558;69.06;670;82.97;Guadiana;Badajoz;ORELLANA LA VIEJA, CAMPANARIO;GUADIANA;Gravedad;1963;4,863.00 ;1;1;1;1;1;1;1;1;1;
PEÑARROYA;50;98.04;0;0.00;51;25;49.02;41;81.96;Guadiana;Ciudad Real;ARGAMASILLA DE ALBA;GUADIANA;Gravedad;1959;412.00 ;1;1;0;0;0;1;1;1;0;
PIEDRA AGUDA;11;68.75;0;0.00;16;13;81.25;13;85.00;Guadiana;Badajoz;OLIVENZA;OLIVENZA;Gravedad;1956;258.00 ;1;1;0;0;1;1;0;1;0;
PROSERPINA;4;80.00;0;0.00;5;4;80.00;4;86.00;Guadiana;Badajoz;MERIDA;PARDILLAS;Materiales sueltos núcleo arcilla;1930;72.00 ;0;0;0;0;1;1;1;1;1;
PTO. DE VALLEHERMOSO;6;85.71;0;0.00;7;4;57.14;5;77.14;Guadiana;Ciudad Real;ALHAMBRA;AZUER;Materiales sueltos homogenea;1988;121.00 ;1;0;0;0;1;1;1;1;0;
RUECAS;27;61.36;0;0.00;44;34;77.27;37;85.45;Guadiana;Caceres;LOGROSAN;RUECAS;Gravedad;1996;397.00 ;0;0;0;0;1;1;0;0;0;
SIERRA BRAVA;166;71.24;11;4.72;233;198;84.98;194;83.26;Guadiana;Caceres;ZORITA;PIZARROSO;Mamposteria;1996;1,650.00 ;1;1;1;0;0;1;1;1;0;
TENTUDIA;4;80.00;0;0.00;5;4;80.00;4;84.00;Guadiana;Badajoz;CALERA DE LEON Y MONESTERIO;BODION;Gravedad;1988;57.48 ;1;1;0;0;1;0;1;1;0;
TORRE DE ABRAHAM;53;28.96;0;0.00;183;72;39.34;129;70.66;Guadiana;Ciudad Real;RETUERTA DE BULLAQUE;BULLAQUE;Gravedad;1994;1,790.00 ;1;1;0;0;1;1;1;1;0;
VALUENGO;15;75.00;0;0.00;20;17;85.00;18;93.00;Guadiana;Badajoz;JEREZ DE LOS CABALLEROS;ARDILA;Gravedad;1959;150.00 ;1;1;1;0;1;0;0;0;0;
VILLAR DEL REY;86;65.65;-1;-0.76;131;128;97.71;107;81.98;Guadiana;Badajoz;VILLAR DEL REY;ZAPATON;Gravedad;1987;1,274.00 ;1;1;1;0;1;1;0;0;0;
ZUJAR;230;76.16;11;3.64;302;217;71.85;254;84.30;Guadiana;Badajoz;CASTUERA, ESPARRAGOSA;ZUJAR;Gravedad;1964;1,449.00 ;1;1;1;0;1;1;1;1;1;
AGUASCEBAS;5;83.33;0;0.00;6;6;100.00;5;91.67;Guadalquivir;Jaen;VILLACARRILLO, MOGON;AGUASCEBAS CHICO;Gravedad;1967;43.00 ;1;0;0;0;1;0;0;1;0;
ARACENA;90;69.77;-1;-0.78;129;123;95.35;114;88.37;Guadalquivir;Huelva;PUERTO MORAL, ARACENA Y ZUFRE;RIVERA DE HUELVA;Contrafuertes;1969;844.00 ;1;0;0;0;1;0;0;1;1;
ARENOSO;63;37.72;0;0.00;167;84;50.30;120;71.86;Guadalquivir;Cordoba;MONTORO;ARENOSO;Materiales sueltos núcleo arcilla;2008;764.00 ;0;1;1;0;1;1;0;0;0;
BEMBEZAR;233;68.13;-1;-0.29;342;284;83.04;277;81.05;Guadalquivir;Cordoba;HORNACHUELOS;BEMBEZAR;Gravedad;1963;1,070.00 ;1;1;1;0;1;0;1;0;0;
