Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes
EL GRADO;363;90,75;-5;-1,25;400;387;96,75;375;93,85;Ebro;Huesca;GRADO, EL;CINCA;Gravedad;1969;1.270,00;1;1;1;1;0;0;1;1;0
EL VAL;20;83,33;-1;-4,17;24;19;79,17;18;76,25;Ebro;Zaragoza;FAYOS, LOS;VAL;Hormigón Compactado;2001;101;1;1;0;0;0;1;0;0;0
ESCALES;94;61,84;3;1,97;152;77;50,66;92;61,05;Ebro;Huesca;SOPEIRA Y TREMP;NOGUERA RIBAGORZANA;Gravedad;1955;400;0;0;1;0;1;1;0;0;0
ESTANCA ALCAÑIZ;4;57,14;0;0;7;4;57,14;5;74,29;Ebro;Teruel;ALCAÑIZ;DERIVACIÓN DEL RÍO GUADALOPE;Materiales sueltos homogenea;1930;135;0;1;0;0;1;1;0;0;1
EUGUI;17;80,95;0;0;21;18;85,71;16;79,52;Ebro;Navarra;ESTERIBAR;ARGA;Gravedad;1972;123;1;0;1;0;0;0;0;0;1
GONZALEZ LACASA;25;75,76;0;0;33;31;93,94;28;86,06;Ebro;La Rioja;ORTIGOSA DE CAMEROS;ALBERCOS;Gravedad;1962;152;1;1;1;0;1;0;1;1;1
GUIAMETS;3;30;0;0;10;2;20;6;61;Ebro;Tarragona;GUIAMETS, ELS;ASMAT;Gravedad;1983;62;0;0;0;0;0;1;0;1;0
IBON DE IP;1;20;0;0;5;1;20;2;40;Ebro;Huesca;CANFRANC;IBON DE IP;Materiales sueltos núcleo arcilla;1974;27;0;0;1;0;0;0;1;0;0
IRABIA;10;71,43;-1;-7,14;14;11;78,57;10;75,71;Ebro;Navarra;ORBAITZETA, OCHAGAVIA;IRATI;Arco Gravedad;1925;87;0;0;1;0;1;0;0;0;0
ITOIZ;317;76,02;-1;-0,24;417;386;92,57;306;73,38;Ebro;Navarra;LONGUIDA, AOIZ, ARCE;IRATI;Gravedad;2002;1.100,00;1;1;1;1;1;1;0;0;0
